Date,ALI_F,XLB,PICK,DBB,AA,CENX,KALU,RIO,NHYDY,ACH,CSTM,S32.AX,HINDALCO.NS,1211.HK,601600.SS,1378.HK
2023-10-17,2166.5,39.584999084472656,39.2599983215332,18.020000457763672,27.770000457763672,6.800000190734863,69.98999786376953,64.37000274658203,5.610000133514404,14.8100004196167,16.979999542236328,3.4600000381469727,5.821549409108103,10.267561422785686,0.8263445209000913,0.8225135573021319
2023-10-18,2175.75,38.560001373291016,38.13999938964844,18.030000686645508,26.520000457763672,6.489999771118164,67.3499984741211,62.41999816894531,5.429999828338623,14.609999656677246,16.299999237060547,3.5,5.825425812045098,10.9658378525696,0.8260732895927714,0.8371356348620425
2023-10-19,2184.0,38.11000061035156,37.63999938964844,18.049999237060547,24.239999771118164,6.130000114440918,66.55000305175781,61.900001525878906,5.340000152587891,14.170000076293944,16.309999465942383,3.390000104904175,5.7638774944379705,10.559585443626448,0.8135639390485594,0.8187936673146851
2023-10-20,2177.0,37.650001525878906,36.77000045776367,18.0,24.01000022888184,6.070000171661377,64.2300033569336,60.560001373291016,5.230000019073486,14.550000190734863,15.93000030517578,3.369999885559082,5.675372367853675,10.412832320155127,0.8083487981045475,0.830811084187021
2023-10-25,2213.25,37.22999954223633,37.2400016784668,18.200000762939453,23.84000015258789,5.800000190734863,62.650001525878906,63.11000061035156,5.340000152587891,14.359999656677246,15.010000228881836,3.25,5.55744349028263,10.285185736434562,0.8072239818101206,0.9036818284489456
2023-10-26,2193.5,37.4900016784668,37.400001525878906,18.07999992370605,23.51000022888184,5.789999961853027,57.869998931884766,63.09000015258789,5.400000095367432,14.100000381469728,15.609999656677246,3.240000009536743,5.490495568959148,10.329971513156808,0.8201539094787004,0.9115432585293342
2023-10-27,2222.75,37.47499847412109,37.540000915527344,18.32999992370605,23.51000022888184,6.179999828338623,54.27999877929688,63.75,5.380000114440918,13.869999885559082,15.31999969482422,3.3299999237060547,5.477140902476767,10.476872264424012,0.8257119067574062,0.9308986737532504
2023-10-30,2263.75,37.86000061035156,37.72999954223633,18.450000762939453,25.31999969482422,6.730000019073486,56.4900016784668,64.20999908447266,5.570000171661377,13.979999542236328,15.93000030517578,3.3299999237060547,5.474540071256611,10.492352110016808,0.8576976092931391,0.949937148772778
2023-10-31,2251.5,38.02999877929688,37.5,18.309999465942383,25.63999938964844,6.610000133514404,56.79999923706055,64.33999633789062,5.659999847412109,14.329999923706056,15.800000190734863,3.319999933242798,5.51643818891266,10.118445867091284,0.847909610856766,0.9359775996837304
2023-11-01,2235.25,38.04999923706055,37.790000915527344,18.479999542236328,25.030000686645508,6.400000095367432,56.43999862670898,65.08000183105469,5.559999942779541,14.640000343322754,15.75,3.319999933242798,5.556142844879609,9.934771833785495,0.8570842959864656,0.93553861311668
2023-11-02,2221.25,38.78499984741211,38.81999969482422,18.46999931335449,26.06999969482422,6.829999923706055,58.220001220703125,66.2699966430664,5.610000133514404,15.510000228881836,16.690000534057617,3.319999933242798,5.56611980712392,9.886404929530457,0.8433685812674996,0.9294072580023276
2023-11-03,2246.0,39.39500045776367,39.09999847412109,18.559999465942383,26.530000686645508,6.869999885559082,58.86000061035156,66.30000305175781,5.679999828338623,19.709999084472656,17.049999237060547,3.319999933242798,5.708293443823381,10.266870649698632,0.8244350479265657,0.9201842038933262
